log_id,employee_id,department,timestamp,date,hour,day_of_week,is_weekend,is_after_hours,resource_type,sensitivity_level,action,location,download_size_mb,session_duration_min,access_failed,ip_address,device_type,vpn_used,rule_score,final_risk_score,risk_level,anomaly_score,is_anomaly
LOG1000010,EMP1135,Operations,2024-08-13 06:37:14,2024-08-13,6,Tuesday,False,True,Financial_Report,Confidential,EDIT,Office,0.0,1,False,6.185.179.241,Laptop,False,48,30.39,Medium,2.27,False
LOG1000011,EMP1090,Operations,2024-06-08 10:04:45,2024-06-08,10,Saturday,True,False,Salary_Data,Highly Confidential,EDIT,Office,0.0,57,False,124.211.107.52,Desktop,False,53,30.0,Medium,2.35,False
LOG1000012,EMP1042,Operations,2024-09-23 11:03:14,2024-09-23,11,Monday,False,False,HR_Database,Highly Confidential,EDIT,Office,0.0,40,False,61.174.231.175,Desktop,False,38,33.45,Medium,12.26,False
LOG1000013,EMP1098,Finance,2024-05-17 13:57:02,2024-05-17,13,Friday,False,False,Internal_Wiki,Internal,VIEW,Office,0.0,28,False,152.170.236.230,Laptop,False,13,31.72,Medium,8.94,False
LOG1000014,EMP1041,Finance,2024-09-20 09:21:04,2024-09-20,9,Friday,False,False,Security_Config,Highly Confidential,DOWNLOAD,Proxy,5.44,45,False,83.173.35.145,Unknown,False,73,36.0,Medium,16.37,False
LOG1000015,EMP1017,Legal,2024-11-24 10:42:31,2024-11-24,10,Sunday,True,False,Customer_Data,Confidential,EDIT,Home,0.0,1,False,72.111.72.152,Laptop,False,51,42.61,Medium,24.15,False
LOG1000016,EMP1057,Finance,2024-11-17 09:34:08,2024-11-17,9,Sunday,True,False,IP_Document,Confidential,VIEW,Office,0.0,17,False,153.41.73.107,Unknown,False,38,40.63,Medium,22.64,False
LOG1000017,EMP1087,IT,2024-11-17 07:59:56,2024-11-17,7,Sunday,True,True,Merger_Document,Highly Confidential,VIEW,Foreign_IP,0.0,14,False,183.230.122.190,Laptop,False,100,35.16,Medium,8.54,False
LOG1000018,EMP1087,IT,2024-08-27 13:36:30,2024-08-27,13,Tuesday,False,False,Customer_Data,Confidential,DOWNLOAD,Office,30.71,69,False,204.165.235.15,Desktop,False,43,35.16,Medium,8.54,False
LOG1000019,EMP1046,Engineering,2024-06-29 06:12:06,2024-06-29,6,Saturday,True,True,HR_Database,Highly Confidential,COPY,Home,10.2,1,False,168.47.120.158,Laptop,False,99,96.67,Critical,98.92,True
LOG1000020,EMP1023,IT,2024-01-12 20:27:22,2024-01-12,20,Friday,False,True,Product_Roadmap,Confidential,EDIT,VPN,0.0,56,False,201.42.34.112,Desktop,True,53,31.26,Medium,8.5,False
LOG1000021,EMP1059,Engineering,2024-02-15 00:26:29,2024-02-15,0,Thursday,False,True,Internal_Wiki,Internal,DOWNLOAD,Office,26.12,1,False,123.49.200.179,Unknown,False,53,41.59,Medium,25.83,False
LOG1000022,EMP1057,Finance,2024-10-12 16:43:41,2024-10-12,16,Saturday,True,False,Salary_Data,Highly Confidential,VIEW,Home,0.0,44,False,60.170.65.193,Desktop,False,56,40.63,Medium,22.64,False
LOG1000023,EMP1137,IT,2024-06-16 10:06:03,2024-06-16,10,Sunday,True,False,Product_Roadmap,Confidential,VIEW,Office,0.0,9,False,4.12.192.65,Laptop,False,38,45.14,Medium,30.59,False
LOG1000024,EMP1085,Sales,2024-12-21 14:46:21,2024-12-21,14,Saturday,True,False,General_File,Public,DOWNLOAD,Office,39.56,1,False,67.235.147.86,Mobile,False,40,41.95,Medium,22.45,False
LOG1000025,EMP1109,Sales,2024-02-06 07:15:12,2024-02-06,7,Tuesday,False,True,Customer_Data,Confidential,VIEW,Office,0.0,52,False,163.111.74.184,Laptop,False,43,35.21,Medium,12.79,False
LOG1000026,EMP1009,Sales,2024-02-22 11:34:28,2024-02-22,11,Thursday,False,False,Source_Code,Internal,EDIT,Home,0.0,27,False,171.200.109.136,Mobile,False,26,33.92,Medium,15.6,False
LOG1000027,EMP1119,Sales,2024-05-11 19:27:11,2024-05-11,19,Saturday,True,True,Legal_Document,Confidential,PRINT,Office,0.0,22,False,79.187.78.192,Desktop,False,67,39.52,Medium,16.57,False
LOG1000028,EMP1110,Engineering,2024-12-23 14:29:15,2024-12-23,14,Monday,False,False,Internal_Wiki,Internal,DOWNLOAD,Office,51.35,65,False,90.225.175.1,Desktop,False,40,30.98,Medium,9.52,False
LOG1000029,EMP1040,Operations,2024-04-08 09:28:51,2024-04-08,9,Monday,False,False,Internal_Wiki,Internal,SHARE,Home,38.75,8,False,20.255.159.43,Laptop,False,46,50.22,High,39.66,True
LOG1000030,EMP1092,Operations,2024-06-04 09:06:03,2024-06-04,9,Tuesday,False,False,Salary_Data,Highly Confidential,EDIT,Office,0.0,104,False,173.42.215.139,Laptop,False,38,30.16,Medium,7.28,False
LOG1000031,EMP1122,IT,2024-02-05 07:34:53,2024-02-05,7,Monday,False,True,Financial_Report,Confidential,DOWNLOAD,Office,69.47,1,False,7.180.139.23,Desktop,False,70,52.83,High,43.56,True
LOG1000032,EMP1008,HR,2024-02-18 12:59:48,2024-02-18,12,Sunday,True,False,Internal_Wiki,Internal,PRINT,Office,0.0,30,False,164.109.48.50,Laptop,False,37,31.05,Medium,5.94,False
LOG1000033,EMP1024,Finance,2024-10-03 08:15:10,2024-10-03,8,Thursday,False,True,Product_Roadmap,Confidential,VIEW,Office,0.0,88,False,70.220.230.128,Mobile,False,43,31.98,Medium,11.53,False
LOG1000034,EMP1121,Sales,2024-02-01 15:31:30,2024-02-01,15,Thursday,False,False,Customer_Data,Confidential,VIEW,Office,0.0,1,False,221.78.206.135,Desktop,False,23,49.48,Medium,41.22,True
LOG1000035,EMP1051,HR,2024-10-02 06:57:03,2024-10-02,6,Wednesday,False,True,Merger_Document,Highly Confidential,SHARE,Unknown,17.99,1,False,61.43.198.119,Mobile,False,100,96.46,Critical,97.79,True
LOG1000036,EMP1142,HR,2024-08-09 08:00:24,2024-08-09,8,Friday,False,True,Legal_Document,Confidential,VIEW,Office,0.0,8,False,222.114.182.79,Desktop,False,43,47.2,Medium,35.06,True
LOG1000037,EMP1029,Sales,2024-10-21 20:59:50,2024-10-21,20,Monday,False,True,General_File,Public,EDIT,VPN,0.0,1,False,88.235.42.67,Desktop,True,35,43.47,Medium,28.85,False
LOG1000038,EMP1063,Engineering,2024-07-04 13:29:18,2024-07-04,13,Thursday,False,False,Product_Roadmap,Confidential,VIEW,Home,0.0,61,False,29.123.188.14,Laptop,False,31,30.35,Medium,8.51,False
LOG1000039,EMP1025,Legal,2024-12-30 01:44:46,2024-12-30,1,Monday,False,True,General_File,Public,EDIT,Home,0.0,17,False,206.194.245.58,Laptop,False,38,36.58,Medium,13.81,False
LOG1000040,EMP1012,Engineering,2024-02-12 07:35:42,2024-02-12,7,Monday,False,True,IP_Document,Confidential,VIEW,VPN,0.0,23,False,145.190.30.223,Laptop,True,48,34.55,Medium,13.26,False
LOG1000041,EMP1075,Engineering,2024-03-17 20:09:12,2024-03-17,20,Sunday,True,True,Salary_Data,Highly Confidential,DOWNLOAD,Foreign_IP,35.2,1,False,175.25.182.41,Laptop,False,100,97.55,Critical,100.0,True
LOG1000042,EMP1033,Finance,2024-10-21 21:03:37,2024-10-21,21,Monday,False,True,IP_Document,Confidential,DOWNLOAD,Home,15.63,1,False,81.222.16.157,Desktop,False,71,29.85,Low,4.01,False
LOG1000043,EMP1103,Engineering,2024-06-06 08:47:20,2024-06-06,8,Thursday,False,True,Financial_Report,Confidential,DOWNLOAD,Office,1.03,1,False,191.189.64.250,Desktop,False,55,30.11,Medium,3.66,False
LOG1000044,EMP1077,Sales,2024-04-04 08:30:32,2024-04-04,8,Thursday,False,True,Meeting_Notes,Internal,DOWNLOAD,Office,38.31,18,False,68.19.215.201,Laptop,False,53,34.8,Medium,14.25,False
LOG1000045,EMP1056,Finance,2024-07-27 16:10:03,2024-07-27,16,Saturday,True,False,Security_Config,Highly Confidential,VIEW,Office,0.0,32,False,27.180.216.82,Laptop,False,48,38.44,Medium,26.74,False
LOG1000046,EMP1118,Finance,2024-11-21 07:05:54,2024-11-21,7,Thursday,False,True,Source_Code,Internal,DOWNLOAD,Home,1.42,88,False,67.37.156.177,Laptop,False,53,41.81,Medium,23.28,False
LOG1000047,EMP1106,Engineering,2024-06-15 12:04:43,2024-06-15,12,Saturday,True,False,Internal_Wiki,Internal,DELETE,VPN,0.0,74,False,115.54.102.164,Laptop,True,55,33.54,Medium,11.46,False
LOG1000048,EMP1048,Engineering,2024-12-06 15:15:25,2024-12-06,15,Friday,False,False,HR_Database,Highly Confidential,DOWNLOAD,Office,56.81,20,False,221.205.122.224,Mobile,False,60,35.05,Medium,14.37,False
LOG1000049,EMP1135,Operations,2024-10-05 09:36:15,2024-10-05,9,Saturday,True,False,Merger_Document,Highly Confidential,VIEW,VPN,0.0,43,False,68.50.89.51,Desktop,True,53,30.39,Medium,2.27,False
LOG1000050,EMP1145,Legal,2024-01-13 07:38:02,2024-01-13,7,Saturday,True,True,Merger_Document,Highly Confidential,DOWNLOAD,Office,1.71,81,False,130.125.201.85,Unknown,False,80,34.53,Medium,16.26,False
LOG1000051,EMP1081,Engineering,2024-06-19 10:42:37,2024-06-19,10,Wednesday,False,False,Merger_Document,Highly Confidential,VIEW,Office,0.0,30,False,21.92.189.235,Laptop,False,33,43.49,Medium,23.92,False
LOG1000052,EMP1052,Sales,2024-03-04 11:33:20,2024-03-04,11,Monday,False,False,Meeting_Notes,Internal,EDIT,Home,0.0,64,False,9.61.212.184,Laptop,False,26,34.78,Medium,7.29,False
LOG1000053,EMP1119,Sales,2024-06-16 17:16:13,2024-06-16,17,Sunday,True,False,Salary_Data,Highly Confidential,DOWNLOAD,Office,25.19,1,False,212.85.11.186,Desktop,False,68,39.52,Medium,16.57,False
LOG1000054,EMP1116,Engineering,2024-05-21 14:15:16,2024-05-21,14,Tuesday,False,False,Product_Roadmap,Confidential,DELETE,Office,0.0,57,False,123.11.190.44,Desktop,False,45,29.23,Low,7.28,False
LOG1000055,EMP1025,Legal,2024-12-20 09:08:42,2024-12-20,9,Friday,False,False,Salary_Data,Highly Confidential,SHARE,Home,7.13,19,False,64.224.14.146,Desktop,False,58,36.58,Medium,13.81,False
LOG1000056,EMP1086,Sales,2024-01-23 14:20:59,2024-01-23,14,Tuesday,False,False,General_File,Public,SHARE,Home,54.89,14,False,193.13.165.116,Desktop,False,45,40.18,Medium,21.25,False
LOG1000057,EMP1040,Operations,2024-11-10 05:00:29,2024-11-10,5,Sunday,True,True,Merger_Document,Highly Confidential,VIEW,Office,0.0,26,False,159.140.176.162,Laptop,False,68,50.22,High,39.66,True
LOG1000058,EMP1136,IT,2024-10-15 12:36:06,2024-10-15,12,Tuesday,False,False,HR_Database,Highly Confidential,VIEW,Office,0.0,17,False,211.82.224.163,Desktop,False,33,32.26,Medium,14.93,False
LOG1000059,EMP1118,Finance,2024-05-01 09:34:13,2024-05-01,9,Wednesday,False,False,Security_Config,Highly Confidential,EDIT,Office,0.0,90,False,73.210.184.142,Desktop,False,38,41.81,Medium,23.28,False
LOG1000060,EMP1047,Engineering,2024-09-22 09:16:08,2024-09-22,9,Sunday,True,False,Meeting_Notes,Internal,VIEW,Home,0.0,58,False,173.234.26.149,Desktop,False,36,34.95,Medium,17.69,False
LOG1000061,EMP1121,Sales,2024-03-21 17:22:56,2024-03-21,17,Thursday,False,False,HR_Database,Highly Confidential,EDIT,Office,0.0,1,False,116.42.148.155,Desktop,False,38,49.48,Medium,41.22,True
LOG1000062,EMP1052,Sales,2024-11-04 11:56:15,2024-11-04,11,Monday,False,False,Executive_Email,Highly Confidential,VIEW,Office,0.0,55,True,217.254.247.175,Desktop,False,43,34.78,Medium,7.29,False
LOG1000063,EMP1046,Engineering,2024-11-20 04:10:28,2024-11-20,4,Wednesday,False,True,IP_Document,Confidential,SHARE,Foreign_IP,179.42,1,False,69.206.164.26,Unknown,False,100,96.67,Critical,98.92,True
LOG1000064,EMP1122,IT,2024-05-30 19:45:19,2024-05-30,19,Thursday,False,True,Merger_Document,Highly Confidential,VIEW,Home,0.0,37,False,180.214.53.124,Unknown,False,61,52.83,High,43.56,True
LOG1000065,EMP1037,Engineering,2024-05-19 01:51:41,2024-05-19,1,Sunday,True,True,Security_Config,Highly Confidential,DOWNLOAD,Office,0.16,33,True,68.103.149.156,Laptop,False,90,40.95,Medium,22.43,False
LOG1000066,EMP1116,Engineering,2024-07-18 13:52:35,2024-07-18,13,Thursday,False,False,Legal_Document,Confidential,VIEW,Home,0.0,63,False,176.155.3.229,Laptop,False,31,29.23,Low,7.28,False
LOG1000067,EMP1124,Finance,2024-04-29 13:59:42,2024-04-29,13,Monday,False,False,HR_Database,Highly Confidential,DOWNLOAD,Home,55.91,84,False,28.43.243.32,Desktop,False,68,31.63,Medium,8.76,False
LOG1000068,EMP1084,Operations,2024-06-14 23:08:16,2024-06-14,23,Friday,False,True,HR_Database,Highly Confidential,EDIT,Office,0.0,20,False,126.255.181.175,Desktop,False,58,35.78,Medium,21.94,False
LOG1000069,EMP1139,Engineering,2024-09-06 18:56:06,2024-09-06,18,Friday,False,True,IP_Document,Confidential,VIEW,Office,0.0,90,False,41.204.178.154,Unknown,False,43,34.81,Medium,11.95,False
LOG1000070,EMP1147,IT,2024-06-14 14:35:09,2024-06-14,14,Friday,False,False,Legal_Document,Confidential,DELETE,Home,0.0,27,False,202.150.170.118,Desktop,False,53,41.8,Medium,24.46,False
LOG1000071,EMP1099,Engineering,2024-07-23 10:18:38,2024-07-23,10,Tuesday,False,False,Customer_Data,Confidential,PRINT,Office,0.0,48,False,160.48.141.71,Desktop,False,32,35.58,Medium,19.05,False
LOG1000072,EMP1102,Sales,2024-10-11 13:45:21,2024-10-11,13,Friday,False,False,Customer_Data,Confidential,VIEW,Office,0.0,81,False,108.120.164.57,Desktop,False,23,33.87,Medium,14.06,False
LOG1000073,EMP1066,Operations,2024-08-10 14:43:40,2024-08-10,14,Saturday,True,False,Internal_Wiki,Internal,DELETE,Office,0.0,95,True,139.168.182.221,Desktop,False,60,31.8,Medium,8.51,False
LOG1000074,EMP1088,Operations,2024-02-24 14:16:32,2024-02-24,14,Saturday,True,False,Employee_Records,Highly Confidential,DELETE,VPN,0.0,46,False,113.146.65.30,Laptop,True,75,34.1,Medium,19.47,False
LOG1000075,EMP1023,IT,2024-03-01 13:16:57,2024-03-01,13,Friday,False,False,Meeting_Notes,Internal,VIEW,Unknown,0.0,61,False,171.244.8.128,Desktop,False,35,31.26,Medium,8.5,False
LOG1000076,EMP1051,HR,2024-03-12 00:05:40,2024-03-12,0,Tuesday,False,True,Financial_Report,Confidential,DOWNLOAD,Proxy,55.09,20,False,50.242.25.63,Mobile,False,98,96.46,Critical,97.79,True
LOG1000077,EMP1096,Engineering,2024-05-14 09:17:02,2024-05-14,9,Tuesday,False,False,Financial_Report,Confidential,SHARE,VPN,8.12,22,False,113.15.23.103,Desktop,True,45,32.16,Medium,12.57,False
LOG1000078,EMP1042,Operations,2024-04-26 15:08:40,2024-04-26,15,Friday,False,False,Legal_Document,Confidential,COPY,Office,3.52,52,False,92.208.45.195,Laptop,False,38,33.45,Medium,12.26,False
LOG1000079,EMP1126,Operations,2024-04-12 07:28:35,2024-04-12,7,Friday,False,True,IP_Document,Confidential,VIEW,Office,0.0,69,False,99.3.194.34,Mobile,False,43,35.09,Medium,9.22,False
LOG1000080,EMP1126,Operations,2024-08-20 19:27:35,2024-08-20,19,Tuesday,False,True,Financial_Report,Confidential,VIEW,Office,0.0,39,False,37.167.90.211,Laptop,False,43,35.09,Medium,9.22,False
LOG1000081,EMP1025,Legal,2024-04-04 08:07:04,2024-04-04,8,Thursday,False,True,Meeting_Notes,Internal,COPY,VPN,23.49,1,False,192.234.111.91,Laptop,True,61,36.58,Medium,13.81,False
LOG1000082,EMP1041,Finance,2024-05-10 15:09:34,2024-05-10,15,Friday,False,False,Financial_Report,Confidential,VIEW,Office,0.0,30,False,175.212.45.191,Laptop,False,23,36.0,Medium,16.37,False
LOG1000083,EMP1099,Engineering,2024-02-03 07:53:23,2024-02-03,7,Saturday,True,True,Merger_Document,Highly Confidential,VIEW,VPN,0.0,34,False,36.19.142.194,Laptop,True,73,35.58,Medium,19.05,False
LOG1000084,EMP1128,Legal,2024-03-14 08:35:09,2024-03-14,8,Thursday,False,True,Product_Roadmap,Confidential,VIEW,Office,0.0,62,False,95.252.3.99,Laptop,False,43,37.44,Medium,20.63,False
LOG1000085,EMP1084,Operations,2024-02-03 12:08:02,2024-02-03,12,Saturday,True,False,Legal_Document,Confidential,VIEW,Home,0.0,1,False,199.66.235.58,Laptop,False,46,35.78,Medium,21.94,False
LOG1000086,EMP1012,Engineering,2024-07-06 11:23:57,2024-07-06,11,Saturday,True,False,Meeting_Notes,Internal,VIEW,VPN,0.0,41,False,94.8.157.49,Desktop,True,33,34.55,Medium,13.26,False
LOG1000087,EMP1083,Operations,2024-04-16 14:50:55,2024-04-16,14,Tuesday,False,False,Financial_Report,Confidential,EDIT,VPN,0.0,25,False,179.231.43.125,Desktop,True,33,34.53,Medium,13.78,False
LOG1000088,EMP1124,Finance,2024-03-21 23:57:22,2024-03-21,23,Thursday,False,True,Customer_Data,Confidential,SHARE,Office,22.92,43,False,20.119.99.224,Laptop,False,68,31.63,Medium,8.76,False
LOG1000089,EMP1071,Engineering,2024-04-14 16:42:06,2024-04-14,16,Sunday,True,False,Executive_Email,Highly Confidential,VIEW,VPN,0.0,2,False,108.97.239.188,Laptop,True,53,28.4,Low,2.12,False
LOG1000090,EMP1066,Operations,2024-08-16 15:49:35,2024-08-16,15,Friday,False,False,Meeting_Notes,Internal,VIEW,Office,0.0,102,False,39.53.196.29,Desktop,False,13,31.8,Medium,8.51,False
LOG1000091,EMP1035,Engineering,2024-08-28 12:55:26,2024-08-28,12,Wednesday,False,False,Merger_Document,Highly Confidential,VIEW,Home,0.0,93,False,108.69.5.162,Desktop,False,41,32.67,Medium,16.19,False
LOG1000092,EMP1028,Engineering,2024-03-17 09:47:09,2024-03-17,9,Sunday,True,False,Meeting_Notes,Internal,VIEW,Office,0.0,28,False,130.240.196.115,Unknown,False,28,29.14,Low,3.02,False
LOG1000093,EMP1082,HR,2024-05-16 03:59:15,2024-05-16,3,Thursday,False,True,Internal_Wiki,Internal,VIEW,VPN,0.0,40,False,5.166.92.175,Laptop,True,38,46.95,Medium,35.0,True
LOG1000094,EMP1080,IT,2024-02-29 19:10:51,2024-02-29,19,Thursday,False,True,General_File,Public,EDIT,Office,0.0,1,False,124.75.156.145,Mobile,False,30,41.43,Medium,23.63,False
LOG1000095,EMP1038,Sales,2024-02-23 07:11:56,2024-02-23,7,Friday,False,True,Product_Roadmap,Confidential,VIEW,VPN,0.0,35,False,118.254.19.129,Desktop,True,48,42.9,Medium,28.51,False
LOG1000096,EMP1111,Finance,2024-08-29 08:01:11,2024-08-29,8,Thursday,False,True,IP_Document,Confidential,DOWNLOAD,Office,51.67,44,False,64.73.231.80,Laptop,False,70,36.19,Medium,16.14,False
LOG1000097,EMP1043,Sales,2024-10-04 09:50:59,2024-10-04,9,Friday,False,False,Product_Roadmap,Confidential,VIEW,Unknown,0.0,17,False,68.13.39.133,Laptop,False,45,33.55,Medium,15.85,False
LOG1000098,EMP1113,Finance,2024-05-13 08:51:42,2024-05-13,8,Monday,False,True,Internal_Wiki,Internal,DOWNLOAD,Office,26.56,29,False,203.199.21.39,Laptop,False,53,33.7,Medium,15.09,False
LOG1000099,EMP1004,Operations,2024-03-16 09:15:17,2024-03-16,9,Saturday,True,False,Source_Code,Internal,VIEW,Office,0.0,86,False,211.52.110.119,Mobile,False,28,33.45,Medium,11.15,False
LOG1000100,EMP1075,Engineering,2024-08-20 01:24:55,2024-08-20,1,Tuesday,False,True,Employee_Records,Highly Confidential,DOWNLOAD,Foreign_IP,3.95,1,False,210.136.220.47,Laptop,False,100,97.55,Critical,100.0,True
LOG1000101,EMP1003,Legal,2024-07-21 11:30:14,2024-07-21,11,Sunday,True,False,Customer_Data,Confidential,VIEW,Office,0.0,96,False,115.73.186.140,Laptop,False,38,37.49,Medium,17.01,False
LOG1000102,EMP1088,Operations,2024-07-27 09:52:58,2024-07-27,9,Saturday,True,False,Employee_Records,Highly Confidential,VIEW,Office,0.0,31,False,179.57.47.225,Laptop,False,48,34.1,Medium,19.47,False
LOG1000103,EMP1115,Sales,2024-02-11 09:22:19,2024-02-11,9,Sunday,True,False,Internal_Wiki,Internal,EDIT,Home,0.0,82,False,124.133.52.82,Laptop,False,41,31.36,Medium,13.96,False
LOG1000104,EMP1010,Sales,2024-01-28 07:50:55,2024-01-28,7,Sunday,True,True,Customer_Data,Confidential,DELETE,Office,0.0,23,False,101.175.73.180,Laptop,False,80,31.92,Medium,11.63,False
LOG1000105,EMP1144,Sales,2024-05-25 14:14:01,2024-05-25,14,Saturday,True,False,Salary_Data,Highly Confidential,PRINT,Office,0.0,67,False,47.31.162.247,Desktop,False,57,32.49,Medium,11.67,False
LOG1000106,EMP1046,Engineering,2024-10-11 03:25:21,2024-10-11,3,Friday,False,True,IP_Document,Confidential,VIEW,Home,0.0,1,False,110.220.81.52,Unknown,False,51,96.67,Critical,98.92,True
LOG1000107,EMP1001,Sales,2024-03-30 14:17:55,2024-03-30,14,Saturday,True,False,HR_Database,Highly Confidential,EDIT,Home,0.0,73,False,71.168.223.248,Laptop,False,61,36.23,Medium,14.14,False
LOG1000108,EMP1049,Sales,2024-04-05 07:49:17,2024-04-05,7,Friday,False,True,Executive_Email,Highly Confidential,DOWNLOAD,Office,20.52,74,False,51.64.210.163,Laptop,False,73,34.64,Medium,11.75,False
LOG1000109,EMP1053,Legal,2024-01-31 18:25:43,2024-01-31,18,Wednesday,False,True,Internal_Wiki,Internal,VIEW,Office,0.0,31,False,54.216.91.63,Desktop,False,33,34.99,Medium,13.43,False
LOG1000110,EMP1022,Finance,2024-01-24 21:34:21,2024-01-24,21,Wednesday,False,True,Financial_Report,Confidential,DOWNLOAD,Office,2.45,39,False,100.0.114.238,Desktop,False,55,36.57,Medium,12.24,False
LOG1000111,EMP1111,Finance,2024-04-23 13:16:11,2024-04-23,13,Tuesday,False,False,Merger_Document,Highly Confidential,SHARE,VPN,65.69,1,False,87.79.31.146,Laptop,True,70,36.19,Medium,16.14,False
LOG1000112,EMP1000,Engineering,2024-11-23 05:16:02,2024-11-23,5,Saturday,True,True,HR_Database,Highly Confidential,EDIT,Office,0.0,42,False,20.30.36.40,Mobile,False,73,47.24,Medium,35.71,True
LOG1000113,EMP1046,Engineering,2024-05-31 22:27:22,2024-05-31,22,Friday,False,True,Salary_Data,Highly Confidential,DOWNLOAD,Foreign_IP,130.4,7,True,148.189.232.224,Laptop,False,100,96.67,Critical,98.92,True
LOG1000114,EMP1062,Operations,2024-12-03 15:20:27,2024-12-03,15,Tuesday,False,False,Merger_Document,Highly Confidential,VIEW,Home,0.0,1,False,18.210.164.156,Laptop,False,41,33.66,Medium,8.89,False
LOG1000115,EMP1086,Sales,2024-06-08 11:32:07,2024-06-08,11,Saturday,True,False,Product_Roadmap,Confidential,VIEW,Office,0.0,53,False,8.242.129.101,Mobile,False,38,40.18,Medium,21.25,False
LOG1000116,EMP1050,IT,2024-04-06 14:57:36,2024-04-06,14,Saturday,True,False,Customer_Data,Confidential,EDIT,Unknown,0.0,52,False,75.149.70.14,Mobile,False,65,39.6,Medium,32.57,True
LOG1000117,EMP1057,Finance,2024-02-19 10:16:02,2024-02-19,10,Monday,False,False,IP_Document,Confidential,VIEW,VPN,0.0,83,False,55.243.84.59,Laptop,True,28,40.63,Medium,22.64,False
LOG1000118,EMP1083,Operations,2024-09-07 11:27:00,2024-09-07,11,Saturday,True,False,Security_Config,Highly Confidential,VIEW,Proxy,0.0,90,True,29.113.208.255,Desktop,False,86,34.53,Medium,13.78,False
LOG1000119,EMP1077,Sales,2024-01-10 08:59:51,2024-01-10,8,Wednesday,False,True,Security_Config,Highly Confidential,VIEW,Home,0.0,63,False,115.122.112.224,Mobile,False,61,34.8,Medium,14.25,False
LOG1000120,EMP1121,Sales,2024-04-29 23:43:46,2024-04-29,23,Monday,False,True,IP_Document,Confidential,VIEW,Foreign_IP,0.0,1,False,18.135.255.157,Laptop,False,78,49.48,Medium,41.22,True
LOG1000121,EMP1102,Sales,2024-03-11 11:47:42,2024-03-11,11,Monday,False,False,Customer_Data,Confidential,VIEW,Home,0.0,19,False,192.225.63.42,Desktop,False,31,33.87,Medium,14.06,False
LOG1000122,EMP1051,HR,2024-04-09 05:27:04,2024-04-09,5,Tuesday,False,True,IP_Document,Confidential,SHARE,Proxy,297.35,1,False,190.65.128.9,Laptop,False,100,96.46,Critical,97.79,True
LOG1000123,EMP1031,Sales,2024-10-06 07:58:21,2024-10-06,7,Sunday,True,True,Merger_Document,Highly Confidential,DOWNLOAD,Office,7.54,3,False,198.243.162.159,Laptop,False,80,34.02,Medium,11.41,False
LOG1000124,EMP1054,Sales,2024-04-03 15:54:07,2024-04-03,15,Wednesday,False,False,IP_Document,Confidential,DELETE,Office,0.0,1,False,120.219.203.128,Laptop,False,45,41.52,Medium,29.68,False
